Numero do alimento;Descricao do alimento;Umidade (%);Energia (Kcal) ;Proteina (g);Carboidrato (g);Categoria do alimento
7;"Aveia, flocos, crua";9.1;394;13.9;66.6;Cereais e derivados
13;"Biscoito, salgado, cream cracker";4.1;432;10.1;68.7;Cereais e derivados
25;"Cereal matinal, milho";5.5;365;7.2;83.8;Cereais e derivados
35;"Farinha, de trigo";13.0;360;9.8;75.1;Cereais e derivados
40;"Macarrão, trigo, cru";10.2;371;10.0;77.9;Cereais e derivados
45;"Milho, verde, enlatado, drenado";76.2;98;3.2;17.1;Cereais e derivados
53;"Pão, trigo, francês";28.5;300;8.0;58.6;Cereais e derivados
61;"Pipoca, com óleo de soja, sem sal";2.8;448;9.9;70.3;Cereais e derivados
66;"Abóbora, menina brasileira, crua";95.7;14;0.6;3.3;Verduras, hortaliças e derivados
70;"Abobrinha, italiana, cozida";95.3;15;1.1;3.0;Verduras, hortaliças e derivados
75;"Agrião, cru";93.9;17;2.7;2.3;Verduras, hortaliças e derivados
82;"Alho, cru";67.5;113;7.0;23.9;Verduras, hortaliças e derivados
88;"Batata, doce, cozida";80.4;77;0.6;18.4;Verduras, hortaliças e derivados
93;"Batata, inglesa, frita";44.1;267;5.0;35.6;Verduras, hortaliças e derivados
98;"Beterraba, crua";86.0;49;1.9;11.1;Verduras, hortaliças e derivados
107;"Cebola, crua";88.9;39;1.7;8.9;Verduras, hortaliças e derivados
110;"Cenoura, crua";90.1;34;1.3;7.7;Verduras, hortaliças e derivados
115;"Couve, manteiga, crua";90.9;27;2.9;4.3;Verduras, hortaliças e derivados
121;"Farinha, de mandioca, crua";9.4;361;1.6;87.9;Verduras, hortaliças e derivados
129;"Mandioca, cozida";68.7;125;0.6;30.1;Verduras, hortaliças e derivados
134;"Maxixe, cru";95.1;14;1.4;2.7;Verduras, hortaliças e derivados
144;"Pimentão, verde, cru";93.5;21;1.1;4.9;Verduras, hortaliças e derivados
147;"Quiabo, cru";90.6;30;1.9;6.4;Verduras, hortaliças e derivados
157;"Tomate, com semente, cru";95.1;15;1.1;3.1;Verduras, hortaliças e derivados
163;"Abacate, cru";83.8;96;1.2;6.0;Frutas e derivados
168;"Açaí, polpa, congelada";88.7;58;0.8;6.2;Frutas e derivados
175;"Banana, da terra, crua";63.9;128;1.4;33.7;Frutas e derivados
182;"Banana, prata, crua";71.9;98;1.3;26.0;Frutas e derivados
186;"Caju, cru";88.1;43;1.0;10.3;Frutas e derivados
200;"Goiaba, vermelha, com casca, crua";85.0;54;1.1;13.0;Frutas e derivados
208;"Laranja, baía, crua";87.1;45;1.0;11.5;Frutas e derivados
214;"Laranja, pêra, crua";89.6;37;1.0;8.9;Frutas e derivados
226;"Mamão, Papaia, cru";88.6;40;0.5;10.4;Frutas e derivados
235;"Melancia, crua";90.7;33;0.9;8.1;Frutas e derivados
239;"Morango, cru";91.5;30;0.9;6.8;Frutas e derivados
253;"Tucuma, cru";51.3;262;2.1;26.5;Frutas e derivados
257;"Uva, Rubi, crua";86.1;49;0.6;12.7;Frutas e derivados
277;"Atum, conserva em óleo";64.5;166;26.2;0.0;Pescados e frutos do mar
282;"Cação, posta, cozida";75.9;116;25.6;0.0;Pescados e frutos do mar
287;"Caranguejo, cozido";77.0;83;18.5;0.0;Pescados e frutos do mar
296;"Lambari, congelado, cru";71.9;131;16.8;0.0;Pescados e frutos do mar
